City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
227,Ushtobe,KZ,2021-03-25 12:43:03,45.2514,77.9838,61.83,37,100,14.09
228,Valparaiso,CL,2021-03-25 12:43:03,-33.0393,-71.6273,57.99,82,90,4.61
229,Puteyets,RU,2021-03-25 12:43:03,65.1716,57.091,34.92,87,87,13.89
230,Ulkan,RU,2021-03-25 12:43:04,57.243,107.3223,26.17,92,99,5.93
231,Port Moresby,PG,2021-03-25 12:43:04,-9.4431,147.1797,78.8,89,75,2.28
232,Trinidad,BO,2021-03-25 12:43:05,-14.8333,-64.9,75.2,94,40,3.44
233,Stepnyak,KZ,2021-03-25 12:43:05,52.8339,70.7803,27.52,80,100,13.73
234,Cap Malheureux,MU,2021-03-25 12:43:05,-19.9842,57.6142,84.0,76,76,4.0
235,Guerrero Negro,MX,2021-03-25 12:42:51,27.9769,-114.0611,53.13,87,0,6.89
236,Imeni Babushkina,RU,2021-03-25 12:43:06,59.7573,43.1285,34.36,99,100,7.92
237,Kenai,US,2021-03-25 12:43:06,60.5544,-151.2583,30.2,93,90,5.75
238,Aras,ES,2021-03-25 12:43:07,42.5617,-2.356,62.01,58,0,2.3
239,Kralendijk,BQ,2021-03-25 12:43:07,12.15,-68.2667,80.6,69,97,19.57
240,Trairi,BR,2021-03-25 12:43:07,-3.2778,-39.2689,83.88,66,81,8.28
241,Naples,IT,2021-03-25 12:38:57,40.8333,14.25,61.0,33,0,9.22
242,Naryan-Mar,RU,2021-03-25 12:43:08,67.6713,53.087,33.94,84,100,23.17
243,Butaritari,KI,2021-03-25 12:43:08,3.0707,172.7902,80.94,80,86,14.56
244,Malangwa,NP,2021-03-25 12:43:09,26.8568,85.5581,84.97,10,0,9.82
245,Tautira,PF,2021-03-25 12:43:09,-17.7333,-149.15,78.8,73,75,2.3
246,Kahului,US,2021-03-25 12:43:10,20.8947,-156.47,69.01,100,1,0.78
247,Xining,CN,2021-03-25 12:39:07,36.6167,101.7667,48.04,23,100,11.92
248,Doka,SD,2021-03-25 12:43:10,13.5167,35.7667,107.98,6,71,8.52
249,Axim,GH,2021-03-25 12:43:10,4.8699,-2.2405,86.25,60,100,11.01
